Continent,Country,Code,Population 2000,Population 2010,Population 2020
Africa,Algeria,DZA,30774621,35856344,43451666
Africa,Angola,AGO,16394062,23364185,33428486
Africa,Benin,BEN,6998023,9445710,12643123
Africa,Botswana,BWA,1726985,2091664,2546402
Africa,Burkina Faso,BFA,11882888,16116845,21522626
Africa,Burundi,BDI,6307659,9126605,12220227
Africa,Cabo Verde,CPV,458251,521212,582640
Africa,Cameroon,CMR,15091594,19878036,26491087
Africa,Central African Republic,CAF,3759170,4660067,5343020
Africa,Chad,TCD,8259137,11894727,16644701
Africa,Comoros,COM,536758,656024,806166
Africa,Cote d'Ivoire,CIV,16799670,21120042,26811790
Africa,Democratic Republic of Congo,COD,48616317,66391257,92853164
Africa,Djibouti,DJI,742033,919199,1090156
Africa,Egypt,EGY,71371371,87252413,107465134
Africa,Equatorial Guinea,GNQ,684977,1094524,1596049
Africa,Eritrea,ERI,2392880,3147727,3555868
Africa,Eswatini,SWZ,1030496,1099920,1180655
Africa,Ethiopia,ETH,67031867,89237791,117190911
Africa,Gabon,GAB,1272935,1711105,2292573
Africa,Gambia,GMB,1437539,1937275,2573995
Africa,Ghana,GHA,19665502,25574719,32180401
Africa,Guinea,GIN,8336967,10270728,13205153
Africa,Guinea-Bissau,GNB,1230849,1567220,2015828
Africa,Kenya,KEN,30851606,41517895,51985780
Africa,Lesotho,LSO,1998630,2022747,2254100
Africa,Liberia,LBR,2895224,4019956,5087584
Africa,Libya,LBY,5154790,6491988,6653942
Africa,Madagascar,MDG,16216431,21731053,28225177
Africa,Malawi,MWI,11229387,14718422,19377061
Africa,Mali,MLI,11239101,15529181,21224040
Africa,Mauritania,MRT,2695003,3419461,4498604
Africa,Mauritius,MUS,1186873,1250400,1265740
Africa,Morocco,MAR,28554415,32464865,36688772
Africa,Mozambique,MOZ,17768505,23073723,31178239
Africa,Namibia,NAM,1819141,2099271,2489098
Africa,Niger,NER,11622665,16647543,24333639
Africa,Nigeria,NGA,122851984,160952853,208327405
Africa,Republic of Congo,COG,3134030,4437884,5702174
Africa,Rwanda,RWA,8109989,10309031,13146362
Africa,Sao Tome and Principe,STP,143714,182138,218641
Africa,Senegal,SEN,9704287,12530121,16436120
Africa,Seychelles,SYC,81131,89770,98462
Africa,Sierra Leone,SLE,4584067,6436698,8233970
Africa,Somalia,SOM,8721465,12026649,16537016
Africa,South Africa,ZAF,46813266,51784921,58801927
Africa,South Sudan,SSD,6114440,9714419,10606227
Africa,Sudan,SDN,26298773,33739933,44440486
Africa,Tanzania,TZA,34463704,45110527,61704518
Africa,Togo,TGO,5008035,6571855,8442580
Africa,Tunisia,TUN,9893316,10895063,12161723
Africa,Uganda,UGA,24020697,32341728,44404611
Africa,Zambia,ZMB,9891136,13792086,18927715
Africa,Zimbabwe,ZWE,11834676,12839771,15669666
Asia,Afghanistan,AFG,19542982,28189672,38972230
Asia,Armenia,ARM,3168523,2946293,2805608
Asia,Azerbaijan,AZE,8048600,9054332,10093121
Asia,Bahrain,BHR,711442,1213645,1477469
Asia,Bangladesh,BGD,129193327,148391139,167420951
Asia,Bhutan,BTN,587207,705516,772506
Asia,Brunei Darussalam,BRN,333926,396053,441725
Asia,Cambodia,KHM,12118841,14363532,16396860
Asia,China,CHN,1262645000,1337705000,1411100000
Asia,Cyprus,CYP,948237,1129686,1237537
Asia,Democratic People’s Republic of Korea,PRK,23367059,24686435,25867467
Asia,Georgia,GEO,4077131,3786695,3722716
Asia,Hong Kong,HKG,6665000,7024200,7481000
Asia,India,IND,1059633675,1240613620,1396387127
Asia,Indonesia,IDN,214072421,244016173,271857970
Asia,Iraq,IRQ,24628858,31264875,42556984
Asia,Islamic Republic of Iran,IRN,65544383,75373855,87290193
Asia,Israel,ISR,6289000,7623600,9215100
Asia,Japan,JPN,126843000,128070000,126261000
Asia,Jordan,JOR,5056174,6931258,10928721
